,target,text
30694,0,what the fuck I am trying to find my buddy on twitter and he wont come out 
599599,0,Seekin' for happiness 
533017,0,"@JaysFreaky Aww, poor Jason.  I'll totally cuddle with you!"
405645,0,Finally over with the SATs...for now. Waking up early on a Saturday is not fun at all 
192752,0,http://twitpic.com/68v4b - Hawaii state fair looks a little lame 
11004,0,Stuck at work on an absolutely gorgeous Saturday. This is so unfair 
112165,0,can't believe that MacDonalds post-it notes day was a year ago :O and is hating GCSE revision 
11571,0,I need my Double Chocolate Chip Frappucino! 
741261,0,Awake after a few shorts hours of sleep :/  work in a bit 
595958,0,"@humboldt_hunny oho,,,thats bad "
140236,0,Sweet jesus I'm bored! I hate fridays in work 
776605,0,"Had interesting dream last night. Could turn into a hawk. Feet working like hands but sharp, flying, it all seemed normal. I want it back "
534589,0,Power browning out.  another storm. It been storming for bout ... 20 days now?
476445,0,missing twitter since his iphone is not working 
62331,0,@Ineedmyfix yep! Most of my surf needs to be fixed.  I should shop in the kids section
719381,0,@seanownsthewrld: i wasn't invited? 
226898,0,@erinpatricia Our old kitty Bear / coveting his genitals / though they are long gone   #haiku
293771,0,"@cjoh Sweet merciful Zeus, yes! Early Saturns ROCKED! Current models are lame and normal crap. No character, all icky, out-of-touch bleh. "
753544,0,hahahah i hope not!! ok i need to go to the grocery store to get shampoop and conditioner.... i left mine at home  twit ya later haa
463491,0,yea....im stuck in a bit of a pickle! ugh...and there's no more ice cream  wut imma eat wit the rest of these brownies?
445073,0,@souljaboytellem Wifey ?  i love you too...
471301,0,@fibbest it's no where near over for me 
159141,0,"@Starlysh Aw, was it that bad? "
125514,0,i just saw a really sad Family Matters :'(....Carl killed someone by accident and at the end he was crying and the dead mans wife cryed 2 
577803,0,30 minutes to go so ready to leave and see Z tonight I miss him 
558799,0,I miss the margarita mix and am becoming depressed that my water isn't a margarita 
590094,0,Grienke with another loss today 
130541,0,Damn this spring like weather is the bomb. Wish I wasn't sitting at this desk 
653910,0,@LiverpoolMich :/ hows the situation progressing? you may have to unzip rip off the clothing and run. there aren't alot of alternatives! 
102705,0,i hate wearing my retainers  i'd rather have my braces back. :|
725082,0,@DonnieWahlberg  So if we aren't totally Donnie fans and we like some of the other guys we can't be soldiers   That makes me very sad!
521479,0,On a mundane level missing my iPhone - in for repair - can only Tweet on Mac 
513875,0,Chocolate butterfly cakes are getting the thumbs up in the office... going to treat myself to one... ten extra mins at the gym tonight! 
568439,0,I think @msPonita that they are tightening up the firwall at work and more and more is getting blocked.  I can manage... 
436444,0,"@aabbiiii sunday dinner is lush, but i'm not having one       i'm having pork chops  ;D"
101329,0,wondering why my nephew has so much energy at 6am... it's not fair 
322876,0,"@issie07 aw i read it, but i think Joe is gunna hurt Selena, he is playing a bad game  but David and Demi are cute "
204668,0,dropped by Midas for an estimate on what's getting done on the Xterra Monday... looks like by the end of the day I'll be 2Gs poorer  sigh
171410,0,@LimeIce you didnt even send me a nice bid  #twpp
200426,0,"Bah, got the date wrong, uncapping is tomorrow night "
74690,0,@TraceyHewins lol that not good 
586324,0,err..not really a good morning for me fellow twitter  just experienced 2hr traffic going home from work :-/
222324,0,@RoxieRavenclaw It's weird for everyone  http://status.twitter.com
107388,0,Ok so I have been soooo lazy today......no tweets.......ny hubby says &quot;you suck&quot;!! Sorry I'll do better. 
787973,0,"Ich bin zur Zeit arbeitslos. = I'm currently unemployed. [ #German #phrases ] - Well, not me - but nowadays many people are "
562377,0,Our alg teacher though...  He sucks...  Gave us a discussion on the first day. 
651204,0,"grrr, cant use own card to get an oyster card  that is annoying, o well, time for rowwing, bai"
54238,0,@kels450 Silly Airdrie though  *pokes them*
431190,0,"im stuck at home today, all day - quite depressed as i have no money to buy clothes or makeup or even go anywhere "
48460,0,Excited!!!! Shame there not mine  http://twitpic.com/4ebfi
390219,0,@owenblacker link doesn't appear to work 
697379,0,Woke up about ten minutes ago and i am thinking about cutting my right leg off with the nearest knife it hurts soOoOo bad  WTF did i do?
728178,0,How sad  Last episode of k-on
260170,0,Lied about the rest. Still working. 
451168,0,"Get down with the get down, if u wanna get down. Hungover today "
696675,0,alex is on his way to work. so what does that leave me to do? unpack  I'm eventually gonna have to get out we have no food
4948,0,well after our sunny weekend we woke to ice and snow this morning 
92724,0,@JoyofZen mmm genius idea. now I want one 
196053,0,I can't stop cutting bits off my hair. Soon my fringe will be 1cm long 
1922,0,Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info
542043,0,@dwaynewright i don't know  I know it's nice to support the plugin comunity but these are things we use in every solution! Slip 'em sum $
287340,0,They spelled my name wrong on my yearbook cover. I just noticed it 
783964,0,@madradish hugs to you hun. It;s an awful feeling. 
566776,0,Is at home sick today ! 
30877,0,@mileycyrus awwww x  i've got school today actually im setting of soon
727485,0,i just want a kiss 
495496,0,I like that President @barackobama is putting health care reform as his top priority because I do not have comprehensive coverage  boooooo
257472,0,I just saw a dead wild cat. Looked like a mountain lion. HUGE! on the side of rt 80 in pa. That's insane. And so very sad. 
241764,0,@Jsummerz HIIIIIIIEEEEEEEE! Aw you're fav white grl luvs ya right back! I roasted marshmellows last night and wished the crew was there 
256781,0,Ive got spares. Urgh i have so much work to do 
567551,0,@R2E2 sorry your refill experience wasn't a good one  contact us on our website www.bondno9.com to make sure your in our data base!
369770,0,7-10 off suit? Who ever plays 7-10 off suit and hits 5-7-J (Yeah I had QJ) with 2 chances of a flush draw too. Then a 7 on 4th and a rag? 
349905,0,OWE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!I JUST FELL OFF DA CHAIR 
758161,0,@Dreamyeyes yummy ! i im allrgic to sea food !! 
132882,0,Not a good way to start off my morning 
96673,0,"is freakin sleepy,,idk why im still up "
79093,0,got burned on the crepe machine at work... now i have an ugly scar on my arm 
125315,0,@startabuzz I am lost. Please help me find a good home. 
369033,0,I miss Heather Costello.  like... No one knows how much.   I'm going to keep doing sad faces.  yep... I sure am... Blahhhhh. 
134016,0,Boys are mad at me 
721227,0,off to see the Room and Rocky at Chandler Cinemas for the last time 
206682,0,@itscarnio FUCK OFF SAM  AND @MatthewGlitch IM NOT RUNNING TO BGT FOR MY ACT LOL
766770,0,working at 11pm in the hotel 
178869,0,Why isnt my internet working 
733212,0,@mssensible ha! As if! Was up early with youngest... as always!! 
6714,0,Not impressed with my banana! My plant that is. Put it out for the nice weather only to see it wilt  
688575,0,HELP? Can anyone recommend a good cult dvd seller that ships to Oz? Having trouble finding some of the zombie flicks on my &quot;To Buy&quot; list 
224619,0,"@dollparts666    eh! hate life, they might! possibly  ps dote informed me of your birthday. so happy birthday for the other day! ;)"
185520,0,"@rocklobstah the basketball game, nuggets are out  Megz"
725750,0,im sooooo starving but i dont feel like cooking and im to lazy to drive any where! 
602394,0,@KissIzAmazing ok well i cant sneak on no bags big as my ass is so umm.... come back 
24374,0,@jbxlovee haha yes love and lime juice.... but way to many teenies 
462873,0,"I know, I know. My last tweet was way TMI... LOL! But I'm in pain so I don't really care right now! Sorry. "
519694,0,Apple News 6/16: Apple adds G5's to obsolete list. 
615858,0,@kendall Can't believe I'm missing #semtech2009.  Three straight years I've missed... 
329991,0,Missing out on a bonfire put on by my best friend that I haven't seen in weeks. 
792608,0,Going to the final Third year discipleship  then off to bowl and eat ice cream with the #GTAustin Staff the @GT20mobile Great day
424149,0,Back to work at 11am ; sleep at 4 
387799,0,"@iwilburn ....looks up URL for eBay. &quot;Bnib lacie 1TB ext hdd, £50 ono....... Selling to pay for beer.&quot;    "
182661,0,@cyntjemusic still moving 
154398,0,UGH!!! wht the EFF is wrong w Twitter...im tired of my default pic bein a red 'X' ...  who KNOWS wht random pic will eventually show up...
77389,0,"about to have a lovely, long, hot bath in order to rid myself of illness  Can anyone spare a hug please????"
198900,0,Stupid frozen boob juice broke my foot! 
13457,0,http://twitpic.com/3jqma - I wish they fit  maybe I can just stuff them...A LOT.
201532,0,is waiting hopelessly for Futur Music Magazine JUNE 2009 ! 
404106,0,@JGizzle88 aww she's so lucky!! I want one  what color?
117606,0,finishing off english media work. eugh. we never get any homework about writing arcticles + stuff 
267012,0,@Widdicombe Caps v Pens series = best hockey I've seen in years.  2 bad all we get over here is basketball   thx for the play by play
217523,0,i dont no how to work this 
352560,0,"@sheatrevor  well, call me when you get a quick break from work OK?"
249956,0,"i have to go :S need a shower, then i HAVE TO do my homework  yes, so i'll see you tomorrow xxxx"
95686,0,I was really shocked to see Danny go.... He was my pick from the very beginning 
648844,0,Getting ready 2 go 2 the orthodonist!!!  :'(
67981,0,"@wlynn7 DM me the info about Unc, I know about Mad... "
164240,0, Didn't bring connector for camera on trip...saving new photos will have to wait another week...
250713,0,What to eat when you've got that 'day after drinking' feeling that won't shift and no bread   I just don't know..
782064,0,I think I NEED to see a dentist soon. It hurts to drink very cold beverages and ice cream! Huhu! 
432680,0,heading home now 
434770,0,The ceremony is just not the same without Nadal 
50326,0,Allergies are wiping me today. 
745837,0,woah ! just lost  12 followers 
527727,0,"Friendfeed is down, again. "
717064,0,@TomiDeluxe But it's a gift for the FANS. We thought you loved us.  I'm so disillusioned now.
455917,0,@Rocketman55 same here! too bad I have been spending it inside packing  hug momma for me!
22100,0,about to leave to the airporttt  bck to Melbourne. @judahchew hahaha I saw you today! Byes!
107293,0,"@Valilor LOL, true, I overdo it! I guess it'd be the lvl80 chieftains, right? No love for Alliance... "
612226,0,my leg is throbbing  boo green line boooo
728231,0,is tired of being unwanted  LOL s'not fair. I hate all of you lol ..
367156,0,@blackenedsky omg ur into sims I can't stand those games 
127975,0,"@HowaiMan Yeah, I had to. Apparently it's not their fault, since they sent it elsewhere to print. "
711905,0,VERY FRUSTRATING TO NOT BE ABLE TO CONTACT THE RIGHT PEOPLE because they are not following me...  #iranelection #gr88
23553,0,still trying to book a hotel in London for may...can anyone rec a hotel? budget chain hotels are all full 
336496,0,"when, this weekend?! cali 1st bday sat "
27792,0,"I'm not going to see mom it was cancel  Anyways I'm watching a really great movie, haha..."
15902,0,mary just left  gotta move out of fierce's tonight and into grahams. then prolly bed time
523046,0,"gooood morning, soo tired  maybe piano will wake me up alittle bit...hmph.."
258268,0,My back hurts 
798808,0,@FenricWolf I don't have a USB to transmit it on to the computer 
597690,0,SICK!!! and have work tomorrow 
541198,0,@w00dRabbit I just wish I were a male sometimes 
629204,0,"Dammit, all my music won't fit on my iPod.  Either I have too much music or the 32gb just isn't enough "
658769,0,@TeeDoll 
475996,0,@SneakerBeezy oh noes T_T  school was cool (: for the first time ever o.e ..jk xD yeahp always will be (: ...xept for college 
99211,0,trying to read the #ukrds report - it's long - like trying to read a short book only much less interesting 
629756,0,@nattyred I have a headache too 
545083,0,@KateEDid14 and you didn't get me one.  I'm done wit you.  I woulda paid for it.
679882,0,"First day off this week,and it's already over!!ugh no plans for tommorow either..super depressed,might as well sleep my day off then!! "
282637,0, My shoulder's acting up.
221252,0,"Having a red bull cola, yum. No nap  girls night out!! Kelley James!!! However I am the DD"
320432,0,is in comp. sci. about to go to math. physics final today.. poop. 
333447,0,@BrooklynzFinest oh no mel. don't leave. 
479657,0,i should NOT be on twitter right now 
707764,0,Need to order my Wonder Year's ticket soon 
33380,0,@nicholasbraun atleast you get to sleep all day.. i have school 
203693,0,Trying to access the Yoyogames-website. The website is slow and doesn't want to show her up. 
440586,0,"@VATD no credit at all, still in debt with the mac  -shall i come on skype or msn? &lt;3"
760492,0,my mom was just asking if i could work w/her on fri....so now i'm not sure....... 
