,text,target
0,@angpang95 did you get back to sleep? Don't think I managed more than a few hours ,1
1,@daniela_alexand think i lost hope yrs ago ,0
2,"@ChampionPhts oohh girl we need to go there, its the old La Meridian.. &amp; its crackin!! And they don't want 2 go  just drove by grrrr",1
3,@lynx12304 I don't know. My live account went silver ,0
4,@kurly I totally forgot and missed it ,0
5,@AnnMarieNski They're getting a divorce. ,1
6,"Saber is suffering a headache, would like to rest but can't leave the website. Hooty and LorD swamped with work, Remus wireless-less ",0
7,@AnneAAM you should! i LOVE Prison Break.i only have till ep 5   .,1
8,is at home at a Saturday night. *sigh*  http://plurk.com/p/12gnd5,0
9,Summer School starts in a week...I hate failing classes ,0
10,@YesMaytee Yeah I think so. I want WE back ,0
11,Wolfram Alpha can't solve crimes  Do you know who killed cock robin? http://bit.ly/nA0s3,0
12,then I will find something new to read... perhaps that new Sara dessen book? I am bummed I couldn't go to the signing tonight ,1
13,Not feeling very well . . . I really can't afford to get sick right now!! ,0
14,"Silverstein stuff still isn't here  lame. I don't like our postman, he's a knob",0
15,@DavidArchie please reply back david! ,1
16,I just wanna you here by my side ,0
17,how can I just switch on the TV and witness the moment of Pratt's death!  That episode should be banned. Am babysitting,1
18,not enough rest on the weekend..now im dead tired ,0
19,3 days mc. what the fuck. ,0
20,the swine flu better not spoil my holiday plans.... ,0
21,"@mileycyrus miley, and what about of ur mexican fans  we lov u too, i hope u can come to mexico soon to see how much we lov u xoxo Sandy",0
22,At Chris and Jessica's with Thylar. Going get Max later  I'm going to miss him.,0
23,I think we'll be hitting 90 today. Spring is over. ,0
24,Listening Where do i go from you by Jon Secada! Suddenly mellow.. ,1
25,Will the M's give me a win in my attendance tonight? So far I am 1 for 10 win:losses when I attending M's game. Sad  ,1
26,Awake. Am definitely going back to sleep soon. Bedroom is cave-like again. Can't resist it. Alex is going to turn the light on thought. ,0
27,@CrystalLewis60 i miss diddy's!! I was so pissed  lol,0
28,apparently i still need to do the sodding sainsburys shop before i get to go out  maybe i should just go out in my work clothes,0
29,Long drive ,1
30,possibly should have applied sunscreen to my back before spending multiple hours snorkeling... ,0
31,#3turnoffwords I have diarrhea ,0
32,@glamourdolleyes I know sorry.  They don't have any rhyme or reason for how they pk partners I don't think.,0
33,Is working a double tomorrow FML ,0
34,@mrstephens85 my head hurt hella bad ,0
35,Pooey. I will just have to wake early... ,0
36,@MicrobeWorld #KrispyKreme sounds delicious. To bad there isn't one close to me ,0
37,splittin' headache.. ,0
38,Zumba time soon...and once again pouring in NY ,0
